Generation	ID	Survival_Time	Response_Time	Capture_Time	Luminance_Difference	Contrast_Difference	Colour_Difference	GabRat_Edge_Disruption	BgLocal_Luminance	BgLocal_Contrast	BgLocal_A	BgLocal_B	Target_Luminance	Target_Contrast	Target_A	Target_B	Image_ID	X_Coordinate	Y_Coordinate	Rotation	Flip	speckling_intensity	speckling_sigma	pttn_x	pttn_y	pttn_width	pttn_aspect_ratio	pttn_angle	pttn_coverage	pttn_CS_sigma	pttn_CS_height	pttn_CS_angle	pttn_E_sigma	pttn_E_noise	EE_intensity	EE_sigma	unit_C_0	pttn_L	pttn_A	pttn_B	unit_C_1	top_L	top_A	top_B	unit_C_2	bottom_L	bottom_A	bottom_B	unit_C_N	col_sigma	col_height	Parent1	Parent2
1	Gen1_Mut0_ID2	595	595	812	28.6558	17.0028	11.724	0.1768	56.5169	18.3273	1.5246	9.9951	27.8611	1.3245	11.7807	15.6753	1.jpg	751.1011	221.3834	46.6952	none	0.6959	0.9242	0.5547	0.6896	0.1016	0.6882	0.9637	0.9505	0.6307	0.1001	0.7284	0.3918	0.8512	0.3848	0.8242	0.7176	0.6697	0.0442	0.292	0.0042	0.4595	0.2324	0.3279	0.3612	0.7882	0.8655	0.8961	0.4648	0.5946	0.8043	none	none
1	Gen1_Mut0_ID0	627	627	768	38.1763	3.199	3.3638	0.2568	54.6646	18.7797	2.7513	11.096	16.4884	21.9787	4.5057	8.2259	3.jpg	546.4596	358.9068	-66.9706	Horiz	0.9238	0.4657	0.1446	0.4647	0.5984	0.6407	0.645	0.3531	0.8234	0.1277	0.2907	0.3275	0.9929	0.1786	0.5875	0.5444	0.5586	0.2607	0.5435	0.4271	0.5351	0.188	0.7934	0.7715	0.1789	0.8233	0.4401	0.9345	0.2298	0.1946	none	none
1	Gen1_Mut0_ID1	834	834	1281	2.9417	6.1822	10.5994	0.3372	51.9763	20.1986	3.0518	11.2055	54.918	14.0164	8.8832	2.3544	2.jpg	571.2727	192.4709	50.2845	Horiz	0.9202	0.1943	0.2397	0.1186	0.6313	0.7688	0.0003	0.4584	0.5951	0.8168	0.2813	0.7104	0.9638	0.3481	0.0339	0.5235	0.4762	0.9017	0.391	0.1201	0.2379	0.4136	0.9133	0.0418	0.6799	0.1903	0.0881	0.3305	0.9876	0.4699	none	none
1	Gen1_Mut0_ID11	904	904	1187	7.1623	0.9826	8.326	0.3056	52.7744	18.0253	2.142	11.4313	45.6121	17.0427	9.1167	6.8842	1.jpg	511.7908	646.1783	70.3234	none	0.8079	0.4725	0.5686	0.3378	0.9147	0.286	0.6448	0.3794	0.9826	0.8252	0.8042	0.3581	0.4241	0.3016	0.9716	0.0343	0.248	0.0249	0.0669	0.846	0.3224	0.7311	0.3178	0.0714	0.3879	0.4037	0.2602	0.7104	0.3593	0.4156	none	none
1	Gen1_Mut0_ID8	776	776	1108	3.3597	14.6486	18.4244	0.341	54.6759	18.8611	2.8693	10.2082	58.0356	4.2126	-13.8209	18.0115	0.jpg	196.8381	778.8229	65.9999	none	0.4329	0.5617	0.6146	0.2984	0.3488	0.6734	0.9896	0.6526	0.1428	0.671	0.4688	0.3888	0.2617	0.1747	0.5001	0.8045	0.6969	0.8316	0.2703	0.1929	0.9891	0.0236	0.4927	0.6318	0.9228	0.8402	0.2716	0.7316	0.4181	0.465	none	none
1	Gen1_Mut0_ID9	743	743	892	3.7636	14.1373	20.8973	0.331	52.6437	18.4764	3.4062	11.7325	48.8801	4.3391	-17.3414	14.2295	3.jpg	553.0578	763.8801	-65.951	none	0.5422	0.793	0.7479	0.0504	0.0046	0.3249	0.9757	0.478	0.8549	0.9718	0.5645	0.0583	0.5679	0.5112	0.3967	0.0407	0.8363	0.4385	0.0373	0.005	0.9558	0.6075	0.0992	0.4055	0.6829	0.5665	0.8753	0.3181	0.7448	0.1905	none	none
1	Gen0_Mut1_ID22	655	655	848	6.1565	12.5847	20.138	0.4486	54.5597	19.0711	2.7945	11.5753	48.4032	31.6557	-16.3423	5.3043	3.jpg	514.2527	309.0124	7.8277	none	0.4104	0.816	0.3432	0.0673	0.1836	0.6906	0.7604	0.6785	0.9669	0.907	0.1545	0.9068	0.2955	0.7616	0.1564	0.9666	0.977	0.4175	0.5878	0.0958	0.7111	0.7309	0.3291	0.4548	0.438	0.5338	0.475	0.8741	0.9577	0.5135	none	none
1	Gen0_Mut1_ID2	598	598	929	8.9865	6.0877	12.0376	0.3519	53.2973	17.8746	2.1271	11.468	44.3109	11.7869	9.6847	2.0986	1.jpg	850.3023	792.9491	18.686	none	0.8097	0.27	0.2076	0.0832	0.8076	0.6728	0.7197	0.8424	0.5907	0.0758	0.1919	0.9348	0.4794	0.7296	0.3661	0.4008	0.4343	0.7773	0.1151	0.3809	0.266	0.3759	0.6186	0.6239	0.827	0.7797	0.136	0.9937	0.3666	0.7803	none	none
1	Gen0_Mut0_ID12	819	819	1054	12.1223	7.6028	11.7313	0.304	52.2285	19.0637	3.0563	9.9909	64.3508	11.4609	-7.7015	14.67	0.jpg	856.415	290.9399	18.5067	none	0.5839	0.5449	0.5999	0.8756	0.2634	0.098	0.2043	0.5472	0.5097	0.1517	0.3923	0.067	0.737	0.3943	0.9296	0.325	0.3389	0.0422	0.4701	0.2721	0.1706	0.7251	0.3591	0.7062	0.8873	0.6617	0.1214	0.2951	0.2418	0.4256	none	none
1	Gen0_Mut1_ID13	595	595	910	20.7405	20.3186	5.116	0.2583	55.2848	18.1022	2.5752	9.6171	34.5444	38.4209	-2.0542	7.4393	2.jpg	176.7721	353.8379	58.5532	none	0.7841	0.4657	0.1887	0.0541	0.5984	0.6407	0.1265	0.1952	0.821	0.2021	0.4203	0.1732	0.9929	0.2634	0.5875	0.5444	0.5586	0.5217	0.5435	0.4207	0.0901	0.2976	0.7858	0.4207	0.0901	0.2976	0.4401	0.9345	0.5143	0.1462	Par_Gen0_Mut0_ID4	Par_Gen0_Mut0_ID6
1	Gen0_Mut0_ID4	738	738	1033	9.0435	4.5734	6.5406	0.443	48.9897	21.1656	3.5361	11.5603	58.0331	25.739	7.5842	6.4229	0.jpg	1159.1234	674.5856	-53.3567	none	0.5839	0.5449	0.6687	0.5607	0.3104	0.5424	0.5699	0.5472	0.5097	0.9471	0.1698	0.1409	0.7394	0.56	0.3808	0.2872	0.685	0.6209	0.6188	0.2721	0.2416	0.7251	0.8676	0.2751	0.8496	0.6617	0.1083	0.9042	0.1218	0.4256	Par_Gen0_Mut0_ID14	Par_Gen0_Mut0_ID12
1	Gen0_Mut1_ID21	595	595	858	30.4528	1.1536	14.8222	0.309	52.5827	17.4206	2.6164	11.6157	22.1299	16.267	14.532	2.8	1.jpg	990.9507	746.3218	21.3897	Horiz	0.5839	0.7783	0.8928	0.7202	0.1379	0.098	0.2043	0.5472	0.5097	0.1248	0.3923	0.067	0.737	0.0281	0.2797	0.325	0.3389	0.0422	0.4701	0.2721	0.1408	0.7251	0.6486	0.4413	0.764	0.0143	0.6331	0.1241	0.2418	0.997	Par_Gen0_Mut0_ID14	Par_Gen0_Mut0_ID1
1	Gen1_Mut0_ID4	687	687	1041	0.4637	4.9056	15.6044	0.2847	48.5243	16.0912	1.6539	10.8335	48.0606	20.9968	13.9496	1.2255	3.jpg	1129.2026	787.0333	-13.8508	none	0.2254	0.2664	0.3649	0.0541	0.0196	0.9117	0.1265	0.1952	0.8137	0.4255	0.9386	0.1732	0.711	0.6027	0.3759	0.7249	0.0558	0.5217	0.1071	0.5352	0.8824	0.6283	0.7554	0.4207	0.0901	0.2976	0.4572	0.9078	0.5143	0.1462	none	none
